dateoftest,elapsed,label
[26/Jul/2013:14:08:37,380370,/batches/batch.json?course=391&offset=0&limit=20&_=1374847715807,200
[26/Jul/2013:14:08:38,393839,/batches/batch.json?course=387&offset=0&limit=20&_=1374847716200,200
[26/Jul/2013:14:08:38,375591,/batches/batch.json?course=390&offset=0&limit=20&_=1374847717060,200
[26/Jul/2013:14:08:39,355061,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847717448,200
[26/Jul/2013:14:08:39,373054,/batches/batch.json?course=388&offset=0&limit=20&_=1374847717804,200
[26/Jul/2013:14:08:40,409024,/batches/batch.json?course=391&offset=0&limit=20&_=1374847718580,200
[26/Jul/2013:14:08:40,359212,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847719000,200
[26/Jul/2013:14:08:41,362639,/batches/batch.json?course=390&offset=0&limit=20&_=1374847719818,200
[26/Jul/2013:14:08:42,373405,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847720192,200
[26/Jul/2013:14:08:42,376175,/batches/batch.json?course=388&offset=0&limit=20&_=1374847720528,200
[26/Jul/2013:14:08:43,289331,/batches/batch.json?course=391&offset=0&limit=20&_=1374847721376,200
[26/Jul/2013:14:08:43,293581,/batches/batch.json?course=387&offset=0&limit=20&_=1374847721726,200
[26/Jul/2013:14:08:44,283848,/batches/batch.json?course=390&offset=0&limit=20&_=1374847722579,200
[26/Jul/2013:14:08:44,267972,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847722876,200
[26/Jul/2013:14:08:45,399630,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847723254,200
[26/Jul/2013:14:08:45,421148,/batches/batch.json?course=391&offset=0&limit=20&_=1374847724081,200
[26/Jul/2013:14:08:46,358792,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847724514,200
[26/Jul/2013:14:08:47,376265,/batches/batch.json?course=390&offset=0&limit=20&_=1374847725159,200
[26/Jul/2013:14:08:47,313748,/batches/batch.json?course=389&offset=0&limit=20&_=1374847725670,200
[26/Jul/2013:14:08:47,287137,/batches/batch.json?course=388&offset=0&limit=20&_=1374847726009,200
